Epoch	lr	Time-elapse(Min)	Train-Loss	Test-Loss	Train-Acc	Test-Acc	Test-Acc-Top5	
1	0.050000	0.657570	4.693405	3.657944	8.455999	12.490000	37.299999	
2	0.050000	1.354234	3.884271	3.261859	18.292000	20.059999	50.649998	
3	0.050000	2.048931	3.277291	2.757836	27.444000	28.209999	62.349998	
4	0.050000	2.726035	2.842426	2.904179	35.250000	29.379999	62.139999	
5	0.050000	3.410927	2.561896	2.355241	40.430000	38.590000	70.989998	
6	0.050000	4.108062	2.396789	2.109239	44.099998	42.700001	76.110001	
7	0.050000	4.809053	2.267640	2.326986	46.751999	40.039997	71.900002	
8	0.050000	5.480018	2.174847	2.107892	49.015999	45.119999	77.059998	
9	0.050000	6.167724	2.116175	1.881932	50.371998	48.250000	80.259995	
10	0.050000	6.841012	2.063590	2.090529	51.935997	44.110001	77.570000	
11	0.050000	7.510241	2.021810	1.926482	53.371998	48.349998	79.919998	
12	0.050000	8.191062	1.982594	1.953922	54.098000	47.539997	79.099998	
13	0.050000	8.883113	1.953173	2.014869	54.848000	48.160000	78.659996	
14	0.050000	9.572645	1.918882	1.845309	55.764000	50.910000	81.119995	
15	0.050000	10.257600	1.901347	1.830763	56.323997	49.899998	82.070000	
16	0.050000	10.952177	1.868746	1.799165	56.983997	52.329998	82.229996	
17	0.050000	11.631755	1.861085	2.083113	57.105999	47.529999	78.070000	
18	0.050000	12.300118	1.842894	1.831656	57.674000	50.910000	81.379997	
19	0.050000	12.984479	1.823290	1.673213	58.051998	53.750000	83.629997	
20	0.050000	13.675082	1.814131	1.756780	58.208000	51.930000	82.549995	
21	0.050000	14.358729	1.801052	1.740270	58.801998	52.520000	82.759995	
22	0.050000	15.062264	1.786331	1.771568	59.073997	51.539997	83.029999	
23	0.050000	15.746893	1.783385	1.758723	59.113998	52.399998	82.269997	
24	0.050000	16.414518	1.769873	1.711310	59.480000	52.660000	82.879997	
25	0.050000	17.091717	1.767376	1.911853	59.377998	49.369999	80.459999	
26	0.050000	17.761495	1.756040	1.705218	59.787998	54.099998	83.949997	
27	0.050000	18.446644	1.748290	1.600137	59.778000	55.399998	84.909996	
28	0.050000	19.146344	1.736615	1.742292	60.241997	53.840000	82.909996	
29	0.050000	19.832728	1.735464	1.849325	60.098000	50.730000	80.949997	
30	0.050000	20.516497	1.734653	1.786697	60.057999	52.070000	81.839996	
31	0.050000	21.204090	1.723933	1.538879	60.323997	56.889999	85.769997	
32	0.050000	21.880510	1.715807	1.772945	60.694000	52.090000	83.220001	
33	0.050000	22.563760	1.717130	1.714777	60.669998	53.899998	82.419998	
34	0.050000	23.236669	1.707754	1.690836	60.834000	53.619999	84.040001	
35	0.050000	23.934995	1.703518	1.725548	61.014000	53.219997	82.820000	
36	0.050000	24.620199	1.700936	1.573855	61.056000	56.410000	84.419998	
37	0.050000	25.318781	1.696964	2.040079	61.098000	48.459999	77.699997	
38	0.050000	25.999949	1.694873	1.589701	61.241997	56.340000	85.959999	
39	0.050000	26.674069	1.694397	1.594491	61.467999	56.529999	85.239998	
40	0.050000	27.380131	1.689094	1.959175	61.261997	49.599998	80.269997	
41	0.050000	28.047370	1.688522	1.801217	61.455997	52.289997	82.989998	
42	0.050000	28.723265	1.684555	1.563079	61.590000	56.320000	85.059998	
43	0.050000	29.395146	1.686342	1.645180	61.209999	55.759998	83.709999	
44	0.050000	30.088246	1.678370	1.632835	61.609997	55.639999	84.970001	
45	0.050000	30.782085	1.671506	1.843482	61.815998	51.969997	80.169998	
46	0.050000	31.464911	1.671451	1.678805	61.801998	54.139999	83.979996	
47	0.050000	32.165376	1.667146	1.693268	62.139999	54.619999	83.930000	
48	0.050000	32.862756	1.669020	1.775697	61.759998	53.799999	82.979996	
