Epoch	lr	Time-elapse(Min)	Train-Loss	Test-Loss	Train-Acc	Test-Acc	Test-Acc-Top5	
1	0.050000	0.414339	3.932231	3.766556	8.592000	10.969999	34.520000	
2	0.050000	0.837404	3.259050	3.193905	19.368000	21.820000	51.799999	
3	0.050000	1.265179	2.738684	2.735094	28.835999	29.359999	63.269997	
4	0.050000	1.685321	2.392274	2.281769	36.084000	39.360001	72.650002	
5	0.050000	2.122877	2.145130	2.288833	41.346001	40.340000	72.019997	
6	0.050000	2.543610	1.983076	2.073467	45.507999	44.599998	76.479996	
7	0.050000	2.991290	1.869786	2.035269	48.355999	45.239998	77.540001	
8	0.050000	3.437330	1.773361	2.049927	50.756001	45.430000	77.169998	
9	0.050000	3.863053	1.702909	1.860879	52.549999	49.250000	80.709999	
10	0.050000	4.293721	1.647332	2.095584	53.641998	44.770000	77.869995	
11	0.050000	4.710813	1.599598	1.901895	54.891998	49.369999	80.220001	
12	0.050000	5.146728	1.551997	1.739164	55.983997	53.279999	82.650002	
13	0.050000	5.591526	1.521631	1.841720	56.875999	51.099998	81.659996	
14	0.050000	6.008935	1.496545	2.138774	57.709999	45.969997	77.099998	
15	0.050000	6.426283	1.475881	1.740415	58.475998	52.629997	82.040001	
16	0.050000	6.843551	1.440808	1.671074	58.910000	55.059998	84.049995	
17	0.050000	7.286840	1.424369	1.743151	59.759998	52.250000	83.559998	
18	0.050000	7.708017	1.414179	1.916404	59.845997	49.539997	80.400002	
19	0.050000	8.127629	1.382811	1.581483	60.702000	56.399998	85.059998	
20	0.050000	8.570574	1.375976	1.798591	60.896000	53.259998	81.889999	
21	0.050000	8.989261	1.365898	1.816684	60.901997	51.669998	82.369995	
22	0.050000	9.406458	1.352423	1.751570	61.341999	53.139999	82.369995	
23	0.050000	9.825002	1.333244	1.873172	61.975998	52.029999	81.189995	
24	0.050000	10.247219	1.323447	1.702590	62.236000	54.489998	83.650002	
25	0.050000	10.666777	1.317588	1.713187	62.056000	53.340000	83.470001	
26	0.050000	11.087969	1.307346	1.792609	62.663998	53.309998	83.159996	
27	0.050000	11.506419	1.294570	1.763325	63.003998	53.770000	83.269997	
28	0.050000	11.925671	1.293487	1.552289	62.907997	57.090000	86.239998	
29	0.050000	12.350858	1.279774	1.705032	63.211998	54.129997	83.759995	
30	0.050000	12.766877	1.281502	1.619455	63.049999	56.049999	84.419998	
31	0.050000	13.183900	1.274427	1.583924	63.396000	57.570000	85.180000	
32	0.050000	13.613790	1.277899	1.568367	63.362000	57.809998	85.159996	
33	0.050000	14.036981	1.261737	1.568219	63.750000	57.309998	85.379997	
34	0.050000	14.456147	1.264203	1.813820	63.571999	52.559998	82.239998	
35	0.050000	14.877017	1.242668	1.500504	64.367996	58.439999	86.489998	
36	0.050000	15.307481	1.246639	1.706691	64.241997	55.209999	83.479996	
37	0.050000	15.728917	1.246602	1.635221	64.117996	55.869999	84.559998	
38	0.050000	16.147251	1.234516	1.691413	64.437996	56.020000	83.229996	
39	0.050000	16.568753	1.230639	1.651169	64.489998	55.509998	84.519997	
40	0.050000	16.987072	1.233508	1.637604	64.459999	56.779999	84.079994	
