Epoch	lr	Time-elapse(Min)	Train-Loss	Test-Loss	Train-Acc	Test-Acc	Test-Acc-Top5	
1	0.050000	0.455866	4.442042	3.822289	8.085999	12.639999	37.279999	
2	0.050000	0.936002	3.294727	3.086436	19.939999	24.559999	55.709999	
3	0.050000	1.398540	2.566475	2.838058	29.917999	29.299999	60.930000	
4	0.050000	1.865344	2.144605	2.515480	37.351997	36.090000	68.869995	
5	0.050000	2.320843	1.885576	2.203088	42.501999	41.840000	74.299995	
6	0.050000	2.779945	1.734816	2.134944	45.787998	44.299999	75.889999	
7	0.050000	3.241037	1.625910	2.320279	48.267998	41.950001	74.519997	
8	0.050000	3.698949	1.545181	2.050976	50.357998	45.949997	77.470001	
9	0.050000	4.158834	1.489510	2.042603	51.694000	46.619999	77.580002	
10	0.050000	4.627307	1.445341	2.001322	52.257999	46.250000	78.389999	
11	0.050000	5.083967	1.403278	1.880383	53.703999	49.059998	80.269997	
12	0.050000	5.545314	1.382147	2.077344	54.452000	46.079998	76.820000	
13	0.050000	6.003154	1.350874	2.444984	55.188000	41.549999	71.099998	
