Epoch	lr	Time-elapse(Min)	Train-Loss	Test-Loss	Train-Acc	Test-Acc	Test-Acc-Top5	
1	0.050000	0.560539	6.117961	4.074115	7.632000	10.870000	32.389999	
2	0.050000	1.134460	4.868347	3.757644	19.344000	18.059999	47.070000	
3	0.050000	1.695415	4.012995	2.892745	29.441999	30.340000	64.040001	
4	0.050000	2.265441	3.484763	2.588467	36.343998	36.059998	71.099998	
5	0.050000	2.835396	3.115661	2.724174	41.601997	36.119999	67.799995	
6	0.050000	3.406380	2.874151	2.236315	45.253998	43.259998	77.070000	
7	0.050000	3.976467	2.675802	2.509071	48.161999	41.469997	72.790001	
8	0.050000	4.536941	2.556984	1.983751	50.270000	49.270000	80.470001	
9	0.050000	5.097235	2.451546	1.981100	51.736000	49.590000	81.239998	
10	0.050000	5.656566	2.358156	2.097166	52.879997	47.480000	78.479996	
11	0.050000	6.235981	2.294280	2.150823	54.194000	47.899998	78.409996	
12	0.050000	6.793355	2.235472	2.056769	55.351997	49.980000	80.689995	
13	0.050000	7.352666	2.194268	2.063200	55.875999	49.389999	78.659996	
14	0.050000	7.910878	2.149229	1.960364	56.705997	52.149998	81.029999	
15	0.050000	8.464787	2.104667	2.218441	57.085999	47.500000	78.009995	
16	0.050000	9.019455	2.101695	2.110581	57.382000	48.829998	79.389999	
17	0.050000	9.579693	2.049337	1.829892	58.222000	53.299999	83.430000	
18	0.050000	10.130462	2.042121	1.812384	58.354000	53.639999	83.619995	
19	0.050000	10.691978	2.009327	1.922492	58.997997	52.770000	82.329994	
20	0.050000	11.264709	1.991569	1.659073	59.209999	56.570000	85.400002	
21	0.050000	11.830722	1.976475	1.934657	59.601997	51.930000	81.869995	
22	0.050000	12.393193	1.959544	2.096767	59.862000	50.899998	80.369995	
23	0.050000	12.960050	1.946971	1.991733	60.063999	51.399998	82.079994	
24	0.050000	13.529326	1.938887	1.795695	60.175999	54.699997	83.529999	
25	0.050000	14.101452	1.912687	1.799683	60.621998	54.919998	82.939995	
26	0.050000	14.673661	1.907175	1.736676	60.901997	56.180000	84.650002	
